ISO Code,Country,Region,Year,Cluster,Index,Infrastructure,Affordability,Consumer Readiness,Content and Services,Network coverage,Network performance,Spectrum,Mobile data affordability,Handset affordability,Taxation,Mobile Ownership,Basic Skills,Gender Equality,Local Relevance,Online Security,2G Population Coverage,3G Population Coverage,4G Population Coverage,5G Population Coverage,Mobile download speeds,Mobile upload speeds,Mobile latencies,Spectrum assigned in bands below 1GHz,Spectrum assigned in bands between 1-3GHz,Spectrum assigned in bands between 3-6GHz,Spectrum assigned in mmWave bands,Affordability of entry basket (1GB),Affordability of higher basket (5GB),Affordability of entry basket (1GB) for poorest 40%,Affordability of higher basket (5GB) for poorest 40%,Device affordability,Device affordability for poorest 40%,Cost of taxes on mobile data,Cost of taxes on handsets,Cost of sector specific taxes on mobile data,Mobile ownership,Literacy,School Life Expectancy,Gender gap in mobile ownership,Gender gap in mobile internet,Top-Level Domains (TLDs) per person,E-Government Score,Mobile Social Media Penetration,Locally developed apps per person,Digital Language Support,Language accessibility of top ranked apps,Cybersecurity Index,Readiness Score,Sustainability Score,Potential Deployment
AFG,Afghanistan,South Asia,2021,1,25.98,36.74,22.05,22.41,25.08,54.59,26.07,22.38,22.55,4.79,55.56,30.78,36.45,0.0,30.05,5.2,90.0,64.97,49.0,0.0,4.6,7.33,66.27,24.95,33.0,0.0,0.0,37.87,16.74,28.36,7.24,9.58,0.0,66.67,100.0,0.0,30.78,37.0,35.9,0.0,0.0,39.76,34.44,10.18,44.92,38.19,0.0,5.2,70,75,Yes
AFG,Afghanistan,South Asia,2022,1,27.28,39.59,25.47,22.83,24.05,59.8,28.0,22.38,24.23,11.66,55.56,32.05,36.45,0.0,28.76,5.2,90.0,70.0,57.0,0.0,5.32,9.41,69.27,24.95,33.0,0.0,0.0,39.58,18.46,30.01,8.89,16.84,6.47,66.67,100.0,0.0,32.05,37.0,35.9,0.0,0.0,39.39,27.7,7.56,43.34,39.68,0.0,5.2,70,75,Yes
AFG,Afghanistan,South Asia,2023,1,29.62,41.59,28.43,26.86,24.22,63.4,29.38,22.38,24.02,19.27,55.56,33.43,36.45,10.71,28.98,5.2,90.0,71.0,65.0,0.0,5.63,10.3,72.23,24.95,33.0,0.0,0.0,39.33,18.2,29.84,8.71,24.41,14.13,66.67,100.0,0.0,33.43,37.0,35.9,0.0,21.43,38.9,27.7,8.64,42.16,41.33,0.0,5.2,70,75,Yes
AFG,Afghanistan,South Asia,2024,1,26.71,45.71,18.96,23.68,24.81,68.85,33.25,24.38,7.43,12.2,55.56,34.59,36.45,0.0,26.4,18.42,92.3,75.16,73.89,0.0,7.8,15.21,76.74,24.95,39.67,0.0,0.0,18.18,2.66,8.87,0.0,24.41,0.0,66.67,100.0,0.0,34.59,37.0,35.9,0.0,0.0,38.28,14.38,9.22,35.7,41.63,0.0,18.42,70,75,Yes
AGO,Angola,Sub-Saharan Africa,2021,1,43.99,47.63,52.65,50.04,29.85,58.54,41.43,38.23,36.96,55.1,79.11,40.84,56.11,53.18,34.07,12.99,90.0,90.24,33.6,0.0,13.92,29.3,81.08,55.46,34.99,0.0,0.0,60.53,37.37,36.55,13.4,68.08,42.11,88.6,48.72,100.0,40.84,66.24,45.98,63.24,43.12,16.21,47.99,7.72,47.27,45.93,58.45,12.99,70,75,Yes
AGO,Angola,Sub-Saharan Africa,2022,1,45.74,51.26,55.48,50.26,30.63,63.65,45.4,38.23,40.37,58.78,79.11,51.45,56.11,43.21,35.04,12.99,92.06,92.06,44.05,0.0,18.34,35.49,82.36,55.46,34.99,0.0,0.0,63.93,40.78,39.96,16.8,71.77,45.8,88.6,48.72,100.0,51.45,66.24,45.98,50.2,36.21,17.19,47.16,10.24,47.5,47.83,57.75,12.99,70,75,Yes
AGO,Angola,Sub-Saharan Africa,2023,1,45.78,53.24,52.48,50.72,30.99,70.25,43.74,38.23,36.76,54.88,79.11,57.53,56.11,38.52,35.49,12.99,93.92,93.92,57.74,1.9,16.87,35.24,79.11,55.46,34.99,0.0,0.0,60.33,37.17,36.35,13.2,67.86,41.89,88.6,48.72,100.0,57.53,66.24,45.98,45.74,31.29,18.23,47.16,13.17,46.18,47.78,57.05,12.99,70,75,Yes
AGO,Angola,Sub-Saharan Africa,2024,2,49.91,56.29,56.3,55.3,35.4,73.88,47.72,38.23,45.88,55.3,79.11,63.96,56.11,45.84,34.34,39.64,94.52,94.52,64.55,8.0,19.55,40.03,83.59,55.46,34.99,0.0,0.0,64.93,47.7,40.96,29.94,68.29,42.32,88.6,48.72,100.0,63.96,66.24,45.98,53.65,38.03,18.44,39.62,13.17,41.33,47.6,62.65,39.64,60,65,No
ALB,Albania,Europe & Central Asia,2021,3,67.85,68.43,61.97,84.58,59.1,88.67,58.74,47.31,50.94,65.09,77.78,83.73,80.98,89.04,57.79,64.32,99.86,98.5,98.2,0.0,34.71,52.03,89.49,52.19,70.7,0.0,0.0,65.29,48.45,53.44,36.6,71.51,58.67,66.67,66.67,100.0,83.73,98.1,63.86,85.96,92.11,61.87,82.97,65.04,80.91,39.65,0.0,64.32,45,50,No
ALB,Albania,Europe & Central Asia,2022,3,67.14,67.07,60.84,86.42,57.61,88.79,55.24,47.31,52.31,60.89,77.78,84.2,80.33,94.74,55.93,64.32,99.86,98.5,98.5,0.0,30.48,47.04,88.21,52.19,70.7,0.0,0.0,66.66,49.82,54.8,37.97,67.31,54.47,66.67,66.67,100.0,84.2,98.1,62.56,89.47,100.0,61.94,81.82,56.39,80.77,39.65,0.0,64.32,45,50,No
