ISO Code,Country,Region,Year,Cluster,Index,Infrastructure,Affordability,Consumer Readiness,Content and Services,Network coverage,Network performance,Spectrum,Mobile data affordability,Handset affordability,Taxation,Mobile Ownership,Basic Skills,Gender Equality,Local Relevance,Online Security,2G Population Coverage,3G Population Coverage,4G Population Coverage,5G Population Coverage,Mobile download speeds,Mobile upload speeds,Mobile latencies,Spectrum assigned in bands below 1GHz,Spectrum assigned in bands between 1-3GHz,Spectrum assigned in bands between 3-6GHz,Spectrum assigned in mmWave bands,Affordability of entry basket (1GB),Affordability of higher basket (5GB),Affordability of entry basket (1GB) for poorest 40%,Affordability of higher basket (5GB) for poorest 40%,Device affordability,Device affordability for poorest 40%,Cost of taxes on mobile data,Cost of taxes on handsets,Cost of sector specific taxes on mobile data,Mobile ownership,Literacy,School Life Expectancy,Gender gap in mobile ownership,Gender gap in mobile internet,Top-Level Domains (TLDs) per person,E-Government Score,Mobile Social Media Penetration,Locally developed apps per person,Digital Language Support,Language accessibility of top ranked apps,Cybersecurity Index,Readiness Score,Sustainability Score,Potential Deployment
SGP,Singapore,East Asia & Pacific,2023,0,93.28,93.42,98.65,92.75,88.57,99.84,97.72,71.96,96.63,100.0,100.0,89.93,88.32,100.0,86.09,98.52,100.0,100.0,100.0,98.43,100.0,100.0,93.15,71.43,79.17,50.0,100.0,100.0,99.03,99.79,87.7,100.0,100.0,100.0,100.0,100.0,89.93,98.0,78.64,100.0,100.0,75.07,96.2,83.43,100.0,73.83,100.0,98.52,90,85,Yes
SGP,Singapore,East Asia & Pacific,2024,0,93.16,93.56,97.74,92.12,89.4,99.88,98.05,71.96,94.34,100.0,100.0,90.16,88.32,97.89,86.78,99.86,100.0,100.0,100.0,98.78,100.0,100.0,94.15,71.43,79.17,50.0,100.0,100.0,100.0,91.89,85.47,100.0,100.0,100.0,100.0,100.0,90.16,98.0,78.64,100.0,95.79,75.17,98.31,83.42,100.0,76.17,100.0,99.86,90,85,Yes
SGP,Singapore,East Asia & Pacific,2022,0,93.03,91.89,98.9,92.67,88.94,99.65,94.1,71.96,97.24,100.0,100.0,89.69,88.32,100.0,86.55,98.52,100.0,100.0,100.0,96.5,100.0,89.44,92.86,71.43,79.17,50.0,100.0,100.0,100.0,100.0,88.97,100.0,100.0,100.0,100.0,100.0,89.69,98.0,78.64,100.0,100.0,75.57,96.2,83.8,100.0,75.28,100.0,98.52,90,85,Yes
FIN,Finland,Europe & Central Asia,2024,0,92.85,96.56,90.59,95.32,89.13,99.85,97.66,87.77,92.07,100.0,68.82,91.82,97.34,96.81,86.41,100.0,100.0,100.0,100.0,98.5,100.0,100.0,92.99,91.1,78.67,97.5,80.0,100.0,91.45,93.64,83.2,100.0,100.0,53.23,53.23,100.0,91.82,100.0,94.68,100.0,93.62,80.64,90.97,76.87,93.72,88.62,93.4,100.0,90,85,Yes
DNK,Denmark,Europe & Central Asia,2023,0,92.76,98.82,85.83,95.22,91.66,99.8,97.55,99.38,91.63,89.62,66.67,90.38,95.27,100.0,91.43,92.6,100.0,100.0,100.0,98.0,100.0,100.0,92.66,100.0,100.0,97.5,95.0,99.89,94.35,88.91,83.37,95.57,83.67,50.0,50.0,100.0,90.38,99.0,91.55,100.0,100.0,87.98,97.97,77.78,99.78,93.48,98.25,92.6,90,85,Yes
DNK,Denmark,Europe & Central Asia,2022,0,92.68,98.66,85.17,94.81,92.61,99.68,97.28,99.38,91.87,87.73,66.67,90.17,95.27,99.0,92.61,92.6,100.0,100.0,100.0,96.83,100.0,100.0,91.84,100.0,100.0,97.5,95.0,100.0,94.64,89.19,83.66,93.67,81.78,50.0,50.0,100.0,90.17,99.0,91.55,100.0,98.0,88.57,97.97,82.86,100.0,93.21,98.88,92.6,90,85,Yes
CHE,Switzerland,Europe & Central Asia,2023,0,92.57,95.75,100.0,91.64,83.69,99.82,97.18,84.77,100.0,100.0,100.0,86.7,88.22,100.0,82.87,86.97,100.0,99.9,99.9,99.0,100.0,100.0,91.54,95.24,86.33,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.7,100.0,76.44,100.0,100.0,90.35,76.77,76.85,100.0,62.49,92.5,86.97,90,85,Yes
DNK,Denmark,Europe & Central Asia,2024,0,92.55,98.83,84.36,94.23,93.39,99.9,97.49,99.38,86.93,90.63,66.67,90.45,95.27,96.97,91.74,100.0,100.0,100.0,100.0,99.0,100.0,100.0,92.48,100.0,100.0,97.5,95.0,95.51,88.88,84.53,78.81,96.58,84.69,50.0,50.0,100.0,90.45,99.0,91.55,100.0,93.94,87.76,99.92,77.06,97.53,96.84,99.13,100.0,90,85,Yes
NOR,Norway,Europe & Central Asia,2022,0,92.48,95.74,88.77,95.12,90.47,97.59,95.71,92.1,92.1,96.49,66.67,90.06,95.31,100.0,88.87,96.89,99.9,99.0,99.0,84.0,100.0,100.0,87.12,95.24,81.6,100.0,100.0,100.0,91.92,94.95,81.52,100.0,92.98,50.0,50.0,100.0,90.06,100.0,90.61,100.0,100.0,85.61,80.07,84.7,95.9,91.99,92.18,96.89,90,85,Yes
AUS,Australia,East Asia & Pacific,2023,0,92.46,93.19,90.64,94.37,91.68,98.25,90.87,87.71,76.59,100.0,100.0,86.41,99.5,97.19,90.23,97.47,99.5,99.5,99.5,87.0,100.0,82.5,90.11,95.24,80.0,80.63,80.0,83.45,83.45,69.74,69.74,100.0,100.0,100.0,100.0,100.0,86.41,99.0,100.0,96.56,97.83,86.42,93.8,76.71,94.85,96.27,100.0,97.47,90,85,Yes
